周结束日期,收盘价,涨跌幅(%)
2023-11-05,39.27000045776367,8.42075961973514
2023-11-12,43.790000915527344,11.510059600394197
2023-11-19,39.099998474121094,-10.710213161341219
2023-11-26,39.4900016784668,0.9974506894260715
2023-12-03,38.25,-3.140039568909281
2023-12-10,37.36000061035156,-2.326795789930558
2023-12-17,39.95000076293945,6.932548475040079
2023-12-24,41.209999084472656,3.1539381663843846
2023-12-31,39.849998474121094,-3.300171416077491
2024-01-07,38.11000061035156,-4.3663687086449965
2024-01-14,41.709999084472656,9.446335388258298
2024-01-21,41.13999938964844,-1.3665780564267926
2024-01-28,44.29999923706055,7.681088707568673
2024-02-04,45.86000061035156,3.521447855886084
2024-02-11,46.349998474121094,1.0684645818755723
2024-02-18,59.869998931884766,29.169365486198195
2024-02-25,57.38999938964844,-4.142307644030307
2024-03-03,62.2599983215332,8.485797148768004
2024-03-10,63.41999816894531,1.8631543184782107
2024-03-17,63.130001068115234,-0.4572644421362959
2024-03-24,71.2300033569336,12.830670286348834
2024-03-31,69.22000122070312,-2.82184759441656
2024-04-07,74.79499816894531,8.05402607617227
2024-04-14,75.56999969482422,1.0361675845333318
2024-04-21,66.80000305175781,-11.605129917272006
2024-04-28,73.81999969482422,10.508976530475888
2024-05-05,75.06999969482422,1.6933080536000622
2024-05-12,86.43000030517578,15.132543834464386
2024-05-19,82.48999786376953,-4.55860514577634
2024-05-26,82.1500015258789,-0.4121667434785481
2024-06-02,81.4800033569336,-0.8155790097389759
2024-06-09,81.91000366210938,0.5277372207412867
2024-06-16,77.5199966430664,-5.359549289183752
2024-06-23,78.58000183105469,1.3673958125526964
2024-06-30,83.22000122070312,5.9048094700027365
2024-07-07,86.80000305175781,4.30185265385945
2024-07-14,84.86000061035156,-2.2350257755745173
2024-07-21,81.80000305175781,-3.605936291049805
2024-07-28,77.52999877929688,-5.2200539280654485
2024-08-04,68.72000122070312,-11.363340251910747
2024-08-11,77.37999725341797,12.601856633998242
2024-08-18,86.3499984741211,11.59214466152867
2024-08-25,90.19999694824219,4.458597037815726
2024-09-01,92.87000274658203,2.9600952202602837
2024-09-08,84.56999969482422,-8.937227098405875
2024-09-15,112.58000183105469,33.120494545709114
2024-09-22,126.08999633789062,12.000350228373557
2024-09-29,127.75,1.3165228886683256
2024-10-06,139.66000366210938,9.322899148422215
2024-10-13,147.0,5.255618033384035
2024-10-20,145.22000122070312,-1.2108835233312076
2024-10-27,161.6300048828125,11.300098832232974
2024-11-03,163.52999877929688,1.1755205339886832
2024-11-10,290.010009765625,77.34361397325509
2024-11-17,291.0899963378906,0.37239630905789856
2024-11-24,333.30999755859375,14.504105861369121
2024-12-01,336.75,1.0320729850899601
2024-12-08,401.5,19.227913882702307
2024-12-15,324.4700012207031,-19.185553867819895
2024-12-22,340.989990234375,5.091376383493484
2024-12-29,335.1700134277344,-1.706788167781803
2025-01-05,350.6499938964844,4.61854576739682
2025-01-12,318.4800109863281,-9.174385703726317
2025-01-19,342.3399963378906,7.491831364131296
2025-01-26,363.1000061035156,6.064149672168262
2025-02-02,369.5899963378906,1.787383675373655
2025-02-09,375.7200012207031,1.6585959965237373
2025-02-16,510.1300048828125,35.77398148233133
2025-02-23,415.30999755859375,-18.58742015106539
2025-03-02,325.739990234375,-21.56702411469924
2025-03-09,270.4800109863281,-16.964444312866366
2025-03-16,292.8900146484375,8.285271647390658
2025-03-23,314.0299987792969,7.217721012522116
2025-03-30,272.3800048828125,-13.263062146414983
2025-04-06,219.3699951171875,-19.46178457131308
2025-04-13,249.9499969482422,13.939920003516825
2025-04-20,238.22000122070312,-4.692936935689596
2025-04-27,276.8299865722656,16.207700929273194
2025-05-04,307.5799865722656,11.107900694122531
2025-05-11,328.5400085449219,6.814494729074871
2025-05-18,362.3399963378906,10.28793660250582
2025-05-25,354.2900085449219,-2.221666907967279
2025-06-01,393.0,10.926074831763133
2025-06-08,417.8900146484375,6.333337060671118
2025-06-15,364.489990234375,-12.77848777003846
2025-06-22,324.70001220703125,-10.916617491129987
2025-06-29,333.7799987792969,2.7964232309533044
2025-07-06,341.6400146484375,2.3548492713423075
2025-07-13,335.1000061035156,-1.9142981689811212
2025-07-20,364.4599914550781,8.761559181378509
2025-07-27,364.1400146484375,-0.08779476873802539
2025-08-03,379.1700134277344,4.127532865018346
2025-08-10,455.9800109863281,20.257402969244275
2025-08-17,438.67999267578125,-3.7940299780083064
2025-08-24,441.67999267578125,0.6838698026096823
2025-08-31,478.5899963378906,8.35672982117699
2025-09-07,490.239990234375,2.4342326387155167
2025-09-14,582.0,18.717365289142606
2025-09-21,649.5900268554688,11.613406676197368
2025-09-28,669.8599853515625,3.1204232913205843
2025-10-05,682.760009765625,1.9257792219507186
2025-10-12,569.8900146484375,-16.531430298024198
2025-10-19,599.3099975585938,5.162396629866439
2025-10-26,620.0,3.452303903771181
2025-11-02,637.3300170898438,2.795164046748999
2025-11-09,619.9299926757812,-2.730143559456677
2025-11-16,557.7000122070312,-10.038227090796015
2025-11-23,520.260009765625,-6.713287004108515
2025-11-30,599.47998046875,15.226995966653911
2025-12-07,691.9400024414062,15.423371085779912
2025-12-14,670.6699829101562,-3.073968762638657
2025-12-21,721.3699951171875,7.559606587286782
2025-12-28,714.22998046875,-0.9897853662845457
2026-01-04,618.3200073242188,-13.428444026052421
2026-01-11,647.719970703125,4.7548135319338325
2026-01-18,568.760009765625,-12.190447185345532
2026-01-25,524.4099731445312,-7.797671400872497
2026-02-01,473.1099853515625,-9.782420323808394
2026-02-08,406.7200012207031,-14.032674470298012
